Página,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,Elan,Resp. Elan,Rev. Elan
https://www.proec.unicamp.br/noticias/proec-lanca-primeiro-edital-de-extensao-voltado-para-iniciativas-e-saberes-indigenas,0.0,1.0,Publicado em 31/01/2023 por PROEC,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/proec-lanca-primeiro-edital-de-extensao-voltado-para-iniciativas-e-saberes-indigenas,1.0,1.0,As propostas devem ser submetidas até dia 16 de junho,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/proec-lanca-primeiro-edital-de-extensao-voltado-para-iniciativas-e-saberes-indigenas,2.0,1.0,Texto: Gabriela Villen l Arte gráfica: Eli J.,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/proec-lanca-primeiro-edital-de-extensao-voltado-para-iniciativas-e-saberes-indigenas,2.0,2.0,Machado,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/proec-lanca-primeiro-edital-de-extensao-voltado-para-iniciativas-e-saberes-indigenas,3.0,1.0,"A Diretoria de Projetos de Extensão (DProj), da Pró-reitoria de Extensão e Cultura (Proec) da Unicamp lançou, na última sexta-feira (12), o 1° edital de apoio a projetos de extensão (PEX) envolvendo iniciativas e saberes indígenas.",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/proec-lanca-primeiro-edital-de-extensao-voltado-para-iniciativas-e-saberes-indigenas,3.0,2.0,"De acordo com Gislaine Elias Alipio, coordenadora da DProj, o edital tem como objetivo fomentar atividades de extensão que valorizem os conhecimentos, expressões artísticas, valores e práticas dos povos indígenas, além de beneficiar diretamente pessoas e comunidades externas.",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/proec-lanca-primeiro-edital-de-extensao-voltado-para-iniciativas-e-saberes-indigenas,3.0,3.0,"Considerando a história da Unicamp de adoção das cotas étnico-raciais na pós-graduação em 2015 e a criação do Vestibular Indígena em 2017, o edital pretende significar novo avanço nesse processo de inclusão, representatividade e valorização dos povos indígenas na Universidade.",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/proec-lanca-primeiro-edital-de-extensao-voltado-para-iniciativas-e-saberes-indigenas,3.0,4.0,"As propostas devem ser submetidas até dia 16 de junho, pelo coordenador do projeto pelo SistemaExteCult.",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/proec-lanca-primeiro-edital-de-extensao-voltado-para-iniciativas-e-saberes-indigenas,4.0,1.0,"Segundo Gislaine, a Proec pretende, por meio deste edital, promover o diálogo horizontal entre os conhecimentos acadêmicos e os conhecimentos de povos indígenas e incentivar ações com escolas, especialmente públicas, que promovam o encontro da comunidade escolar com povos indígenas.",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/proec-lanca-primeiro-edital-de-extensao-voltado-para-iniciativas-e-saberes-indigenas,4.0,2.0,"As propostas devem necessariamente contar com um docente ou pesquisador responsável e estudantes, de graduação ou pós, envolvidos.",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/proec-lanca-primeiro-edital-de-extensao-voltado-para-iniciativas-e-saberes-indigenas,4.0,3.0,,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/proec-lanca-primeiro-edital-de-extensao-voltado-para-iniciativas-e-saberes-indigenas,5.0,1.0,Leia o edital completo e submeta sua proposta.,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/proec-lanca-primeiro-edital-de-extensao-voltado-para-iniciativas-e-saberes-indigenas,6.0,1.0,© Pró-Reitoria de Extensão e Cultura.,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/proec-lanca-primeiro-edital-de-extensao-voltado-para-iniciativas-e-saberes-indigenas,6.0,2.0,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
",,,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
